OWNER,OBJECT_NAME,SUBOBJECT_NAME,OBJECT_ID,DATA_OBJECT_ID,OBJECT_TYPE,CREATED,LAST_DDL_TIME,TIMESTAMP,STATUS,TEMPORARY,GENERATED,SECONDARY,NAMESPACE,EDITION_NAME
SYS,ORA$BASE,,100,,EDITION,2014-05-29 13:10:42,2014-05-29 13:10:44,2014-05-29:13:10:42,VALID,N,N,N,64,
SYS,DUAL,,116,116.0,TABLE,2014-05-29 13:10:42,2014-05-29 13:10:44,2014-05-29:13:10:42,VALID,N,N,N,1,
PUBLIC,DUAL,,117,,SYNONYM,2014-05-29 13:10:42,2014-05-29 13:10:42,2014-05-29:13:10:42,VALID,N,N,N,1,
SYS,MAP_OBJECT,,279,,TABLE,2014-05-29 13:10:43,2014-05-29 13:10:44,2014-05-29:13:10:43,VALID,Y,N,N,1,
PUBLIC,MAP_OBJECT,,280,,SYNONYM,2014-05-29 13:10:43,2014-05-29 13:10:43,2014-05-29:13:10:43,VALID,N,N,N,1,
SYS,SYSTEM_PRIVILEGE_MAP,,365,365.0,TABLE,2014-05-29 13:10:44,2014-05-29 13:10:44,2014-05-29:13:10:44,VALID,N,N,N,1,
PUBLIC,SYSTEM_PRIVILEGE_MAP,,367,,SYNONYM,2014-05-29 13:10:44,2014-05-29 13:10:44,2014-05-29:13:10:44,VALID,N,N,N,1,
SYS,TABLE_PRIVILEGE_MAP,,368,368.0,TABLE,2014-05-29 13:10:44,2014-05-29 13:10:44,2014-05-29:13:10:44,VALID,N,N,N,1,
PUBLIC,TABLE_PRIVILEGE_MAP,,370,,SYNONYM,2014-05-29 13:10:44,2014-05-29 13:10:44,2014-05-29:13:10:44,VALID,N,N,N,1,
SYS,STMT_AUDIT_OPTION_MAP,,371,371.0,TABLE,2014-05-29 13:10:44,2014-05-29 13:10:44,2014-05-29:13:10:44,VALID,N,N,N,1,
PUBLIC,STMT_AUDIT_OPTION_MAP,,373,,SYNONYM,2014-05-29 13:10:44,2014-05-29 13:10:44,2014-05-29:13:10:44,VALID,N,N,N,1,
OUTLN,OL$,,448,448.0,TABLE,2014-05-29 13:10:45,2014-05-29 13:11:41,2014-05-29:13:10:45,VALID,N,N,N,1,
OUTLN,OL$HINTS,,451,451.0,TABLE,2014-05-29 13:10:45,2014-05-29 13:11:41,2014-05-29:13:10:45,VALID,N,N,N,1,
OUTLN,OL$NODES,,455,455.0,TABLE,2014-05-29 13:10:45,2014-05-29 13:11:41,2014-05-29:13:10:45,VALID,N,N,N,1,
SYS,DM$EXPIMP_ID_SEQ,,1081,,SEQUENCE,2014-05-29 13:10:48,2014-05-29 13:10:48,2014-05-29:13:10:48,VALID,N,N,N,1,
SYS,STANDARD,,1253,,PACKAGE,2014-05-29 13:10:50,2014-05-29 13:10:51,2006-04-18:00:00:00,VALID,N,N,N,1,
SYS,DBMS_STANDARD,,1255,,PACKAGE,2014-05-29 13:10:51,2014-05-29 13:11:24,2014-05-29:13:10:51,VALID,N,N,N,1,
PUBLIC,DBMS_STANDARD,,1256,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,ALL_XML_SCHEMAS,,1276,,VIEW,2014-05-29 13:10:52,2014-05-29 13:18:52,2014-05-29:13:18:52,VALID,N,N,N,1,
SYS,ALL_XML_SCHEMAS2,,1277,,VIEW,2014-05-29 13:10:52,2014-05-29 13:18:52,2014-05-29:13:18:52,VALID,N,N,N,1,
SYS,UTL_RAW,,1280,,PACKAGE,2014-05-29 13:10:52,2014-05-29 13:13:54,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,GV_$XSTREAM_CAPTURE,,1281,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,GV$XSTREAM_CAPTURE,,1282,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$XSTREAM_CAPTURE,,1283,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$XSTREAM_CAPTURE,,1284,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,GV_$GOLDENGATE_CAPTURE,,1285,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,GV$GOLDENGATE_CAPTURE,,1286,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$GOLDENGATE_CAPTURE,,1287,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$GOLDENGATE_CAPTURE,,1288,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,GV_$XSTREAM_TRANSACTION,,1289,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,GV$XSTREAM_TRANSACTION,,1290,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$XSTREAM_TRANSACTION,,1291,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$XSTREAM_TRANSACTION,,1292,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,GV_$GOLDENGATE_TRANSACTION,,1293,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,GV$GOLDENGATE_TRANSACTION,,1294,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$GOLDENGATE_TRANSACTION,,1295,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,V$GOLDENGATE_TRANSACTION,,1296,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,GV_$XSTREAM_MESSAGE_TRACKING,,1297,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
PUBLIC,GV$XSTREAM_MESSAGE_TRACKING,,1298,,SYNONYM,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
SYS,V_$XSTREAM_MESSAGE_TRACKING,,1299,,VIEW,2014-05-29 13:10:52,2014-05-29 13:10:52,2014-05-29:13:10:52,VALID,N,N,N,1,
